reaction,base_reaction,data_type,ec_code,kcat_evidence_count,kcat,MW,kcat_MW,missing_mass_genes
24DHX5M6OI,24DHX5M6OI,global_default_no_ec,,0,65.0,28.503,8209662.140827281,
2ABZMOx_num1,2ABZMOx,EC_kcat_max_BRENDA,1.14.13.40,1,70.8,37.273,6838193.866874144,
2ABZMOy_num1,2ABZMOy,EC_kcat_max_BRENDA,1.14.13.40,1,70.8,37.273,6838193.866874144,
2AMUCSAD_num1,2AMUCSAD,EC_kcat_max_BRENDA,1.2.1.32,1,99300.0,54.591,6548332142.660878,
2CLRED_num1,2CLRED,EC_class_1_SABIO_median,1.3.1.103,0,17.825000000000003,33.731,1902404.3165041062,
2DHGLCK_num1,2DHGLCK,SABIO_RK_cache_median,2.7.1.13,5,5.71,32.851,625734.3764268972,
2K3DRHAM,2K3DRHAM,EC_kcat_max_BRENDA,1.1.1.401,1,0.86,30.017,103141.55311989873,
2MBCOATA,2MBCOATA,EC_kcat_max_BRENDA,2.3.1.180,1,47.1,32.674,5189447.266940075,
2OH3EDISO,2OH3EDISO,global_default_no_ec,,0,65.0,28.503,8209662.140827281,
2OXOADOX_num1,2OXOADOX,global_default_no_ec,,0,65.0,202.571,1155150.539810733,
33BIFLAV_num1,33BIFLAV,EC_class_1_SABIO_median,1.14.21.7,0,17.825000000000003,43.81,1464734.0789774025,
34HPPOR,34HPPOR,EC_kcat_max_BRENDA,1.13.11.27,1,9.9,44.277,804932.5835083678,
36AHDGALC,36AHDGALC,EC_class_5_SABIO_median,5.5.1.25,0,14.525,45.482,1149685.589903698,
38BIFLAVS_num1,38BIFLAVS,EC_class_1_SABIO_median,1.14.21.7,0,17.825000000000003,43.81,1464734.0789774025,
38DPCLOR,38DPCLOR,EC_kcat_max_BRENDA,1.3.1.33,1,0.165,33.268,17854.995791751833,
3CLBZADH,3CLBZADH,EC_kcat_max_BRENDA,1.1.1.90,1,12940.0,37.537,1241015531.342409,
3CTHPPT,3CTHPPT,SABIO_RK_cache_median,1.2.4.2,1,6.7,138.965,173568.88425143022,
3HBCOADH_num1,3HBCOADH,EC_kcat_max_BRENDA,1.1.1.36,1,300.0,25.91,41682747.97375531,
3MBZALDH,3MBZALDH,EC_kcat_max_BRENDA,1.1.1.90,1,12940.0,37.537,1241015531.342409,
3OAR100_num1,3OAR100,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR110_num1,3OAR110,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR120_num1,3OAR120,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR121_num1,3OAR121,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR130_num1,3OAR130,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR140_num1,3OAR140,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR141_num1,3OAR141,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR150_num1,3OAR150,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR160_num1,3OAR160,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR161_num1,3OAR161,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR170_num1,3OAR170,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR180_num1,3OAR180,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR181_num1,3OAR181,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR40_num1,3OAR40,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR50_num1,3OAR50,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR60_num1,3OAR60,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR70_num1,3OAR70,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR80_num1,3OAR80,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAR90_num1,3OAR90,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARai110_num1,3OARai110,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARai130_num1,3OARai130,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARai150_num1,3OARai150,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARai170_num1,3OARai170,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARai70_num1,3OARai70,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARai90_num1,3OARai90,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi100_num1,3OARi100,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi110_num1,3OARi110,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi120_num1,3OARi120,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi130_num1,3OARi130,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi140_num1,3OARi140,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi150_num1,3OARi150,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi160_num1,3OARi160,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi170_num1,3OARi170,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi180_num1,3OARi180,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi60_num1,3OARi60,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi70_num1,3OARi70,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi80_num1,3OARi80,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OARi90_num1,3OARi90,SABIO_RK_cache_median,1.1.1.100,2,4.0,47.597,302540.0760552136,
3OAS100_num1,3OAS100,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS110_num1,3OAS110,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS120_num1,3OAS120,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS121_num1,3OAS121,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS130_num1,3OAS130,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS140_num1,3OAS140,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS141_num1,3OAS141,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS150_num1,3OAS150,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS160_num1,3OAS160,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS161_num1,3OAS161,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS170_num1,3OAS170,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS180_num1,3OAS180,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS181_num1,3OAS181,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS50_num1,3OAS50,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS60_num1,3OAS60,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS70_num1,3OAS70,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS80_num1,3OAS80,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OAS90_num1,3OAS90,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASai110_num1,3OASai110,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASai130_num1,3OASai130,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASai150_num1,3OASai150,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASai170_num1,3OASai170,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASai70_num1,3OASai70,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASai90_num1,3OASai90,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi100_num1,3OASi100,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi110_num1,3OASi110,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi120_num1,3OASi120,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi130_num1,3OASi130,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi140_num1,3OASi140,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi150_num1,3OASi150,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi160_num1,3OASi160,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi170_num1,3OASi170,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi180_num1,3OASi180,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi60_num1,3OASi60,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
3OASi70_num1,3OASi70,EC_kcat_max_BRENDA,2.3.1.179,1,0.047,41.675,4059.98800239952,
