gene,local_uniprot,local_protein_name,local_ec_number,local_mass_da,local_organism
GA0070618_0001,A0A1C4U443,Uncharacterized protein,,8588,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0002,A0A1C4U4B5,Uncharacterized protein,,10681,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0004,A0A1C5ABK5,Nucleoside 2-deoxyribosyltransferase,,12570,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0005,A0A1C4U4E5,"DNA-directed RNA polymerase, sigma subunit (Sigma70/sigma32)",,27354,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0006,A0A1C4U4A8,Uncharacterized protein,,6158,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0007,A0A1C5AC05,Uncharacterized protein,,5865,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0008,A0A1C5ABG9,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family",,20588,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0009,A0A1C4U4K3,SprT-like family protein,,38978,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0010,A0A1C4U4I5,Uncharacterized protein,,17391,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0011,A0A1C4U4N6,Uncharacterized protein,,8117,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0012,A0A1C5ABJ0,Uncharacterized protein,,26137,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0013,A0A1C4U4X5,Uncharacterized protein,,4789,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0014,A0A1C4U4U5,DUF2637 domain-containing protein,,30689,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0015,A0A1C5ABS6,Uncharacterized protein,,16412,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0016,A0A1C4U4V8,Pirin C-terminal cupin domain-containing protein,,23803,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0017,A0A1C4U550,Uncharacterized protein,,4347,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0018,A0A1C4U4Y5,Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,,59422,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0019,A0A1C4U4V1,"RNA polymerase, sigma 28 subunit, SigD/FliA/WhiG",,29809,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0020,A0A1C4U592,Amino acid transporter,,52629,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0021,A0A1C4U4Y1,Golgi phosphoprotein 3 (GPP34),,23752,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0022,A0A1C4U5B9,Helix-turn-helix domain-containing protein,,28283,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0023,A0A1C4U554,DUF397 domain-containing protein,,8515,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0024,A0A1C4U5E2,ATP-dependent helicase HrpB,,90872,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0025,A0A1C4U562,protein-serine/threonine phosphatase (EC 3.1.3.16),3.1.3.16,25528,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0026,A0A1C4U547,Endoglucanase (EC 3.2.1.4),3.2.1.4,91309,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0027,A0A1C4U5C1,HTH cro/C1-type domain-containing protein,,27572,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0028,A0A1C4U577,DUF397 domain-containing protein,,6884,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0029,A0A1C4U5F3,Extracellular small neutral protease (EC 3.4.24.77) (Snapalysin),3.4.24.77,41478,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0030,A0A1C4U5G7,Probable non-F420 flavinoid oxidoreductase,,35360,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0031,A0A1C4U5N7,Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase,,50143,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0032,A0A1C4U5K0,Uncharacterized protein family UPF0016,,9422,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0033,A0A1C4U5H3,Lysophospholipase L1,,32233,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0034,A0A1C4U5Q5,EcsC protein family protein,,26677,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0035,A0A1C4U5I1,Uncharacterized protein,,5536,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0036,A0A1C4U5L7,Peptidase M23,,27979,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0037,A0A1C4U5L3,"Predicted ATP-dependent carboligase, ATP-grasp superfamily",,33670,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0038,A0A1C4U5N6,Exodeoxyribonuclease-3,,28744,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0039,A0A1C4U5P0,Heme-degrading monooxygenase HmoA,,11304,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0040,A0A1C4U5Y6,Tetratricopeptide repeat-containing protein,,108061,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0041,A0A1C4U631,Uncharacterized protein,,13907,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0042,A0A1C4U5T0,DUF397 domain-containing protein,,6669,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0043,A0A1C4U673,DUF5753 domain-containing protein,,28062,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0044,A0A1C4U5W0,Flavin reductase,,9491,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0045,A0A1C4U629,Sortase family protein,,20425,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0046,A0A1C4U697,MYXO-CTERM domain-containing protein,,18269,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0047,A0A1C4U5Z8,tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase),2.1.1.33,26280,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0048,A0A1C4U623,Superfamily II RNA helicase,,92247,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0049,A0A1C4U6A4,D-aminopeptidase,,30852,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0050,A0A1C4U699,Uncharacterized protein,,23268,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0051,A0A1C4U678,Peptidase_C39 like family protein,,23437,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0052,A0A1C4U6F2,Putative oxidoreductase,,14853,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0053,A0A1C4U6A3,Integral membrane protein,,16592,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0054,A0A1C4U6A6,Cytidine deaminase,,13479,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0055,A0A1C4U6H2,ATP-dependent helicase HrpA,,154362,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0056,A0A1C4U6P0,"DNA-binding transcriptional regulator, LysR family",,33145,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0057,A0A1C4U6E2,Succinate dehydrogenase / fumarate reductase cytochrome b subunit,,25017,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0058,A0A1C4U6H3,Succinate dehydrogenase subunit A,,71625,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0059,A0A1C4U6I2,Succinate dehydrogenase subunit B,,27077,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0060,A0A1C4U6N6,Uncharacterized protein,,60141,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0061,A0A1C4U6K4,Putative ABC transport system permease protein,,42001,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0062,A0A1C4U6S0,Putative ABC transport system ATP-binding protein,,25742,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0063,A0A1C4U6X9,Multidrug efflux pump subunit AcrA (Membrane-fusion protein),,38648,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0064,A0A1C4U6U0,Secreted protein,,19283,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0065,A0A1C4U6R8,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (WHTH) domain",,24144,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0066,A0A1C4U6S3,histidine kinase (EC 2.7.13.3),2.7.13.3,42091,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0067,A0A1C4U6T3,Threonine dehydrogenase,,42380,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0068,A0A1C4U752,Beta-lactamase (EC 3.5.2.6) (Penicillinase),3.5.2.6,36100,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0069,A0A1C4U727,"L-ascorbate metabolism protein UlaG, beta-lactamase superfamily",,41504,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0070,A0A1C4U6Y8,dGTPase,,55274,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0071,A0A1C4U741,S1 motif domain-containing protein,,87194,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0072,A0A1C4U768,Uncharacterized protein,,17895,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0073,A0A1C4U729,Uncharacterized hydrophobic domain-containing protein,,33870,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0074,A0A1C4U7D1,Acetyltransferase (GNAT) family protein,,23392,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0075,A0A1C4U799,Glycosyltransferase involved in cell wall bisynthesis,,44264,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0076,A0A1C4U7G6,"dTDP-4-amino-4,6-dideoxygalactose transaminase",,41676,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0077,A0A1C4U7C4,"Sugar transferase involved in LPS biosynthesis (Colanic, teichoic acid)",,22161,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0078,A0A1C4U7E8,"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase",,40349,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0079,A0A1C4U7F8,UDP-glucose 4-epimerase (EC 5.1.3.2) (UDP-galactose 4-epimerase),5.1.3.2,37608,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0080,A0A1C4U7M4,Pectate lyase superfamily protein,,47382,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0081,A0A1C4U7C8,Glycosyltransferase involved in cell wall bisynthesis,,90549,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0082,A0A1C4U7D6,O-antigen ligase,,47710,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0083,A0A1C4U7F2,Uncharacterized protein,,51661,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0084,A0A1C4U7G2,Immune inhibitor A peptidase M6,,111624,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0085,A0A1C4U7J5,UDP-N-acetylglucosamine 2-epimerase (Non-hydrolysing),,41754,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0086,A0A1C4U7X6,Phosphoglucomutase,,57706,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0087,A0A1C4U7K9,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase),2.7.7.27,45599,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0088,A0A1C4U800,Glycogen synthase (ADP-glucose),,44240,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0089,A0A1C4U807,Helix-turn-helix domain-containing protein,,40642,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0090,A0A1C4U7Q0,Uncharacterized protein,,7193,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0091,A0A1C4U7R0,"Regulatory protein, gntR family",,8367,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0092,A0A1C4U7W5,Uncharacterized protein,,33795,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0093,A0A1C4U820,Short-chain dehydrogenase,,30922,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0094,A0A1C4U7U7,SnoaL-like domain-containing protein,,12223,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0095,A0A1C4U804,"Transcriptional regulator, TetR family",,25844,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0097,A0A1C4U830,DinB superfamily protein,,27091,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0098,A0A1C4U833,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase (GMPMT) (EC 2.4.99.16) ((1->4)-alpha-D-glucan:maltose-1-phosphate alpha-D-maltosyltransferase)",2.4.99.16,77532,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0099,A0A1C4U889,"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)",2.4.1.18,78162,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0100,A0A1C4U834,Lipoprotein,,25597,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0102,A0A1C4U8B3,AraC-type DNA-binding protein,,37082,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0103,A0A1C4U863,Peptidoglycan binding-like domain-containing protein,,18228,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0104,A0A1C4U8B4,"Uncharacterized lipoprotein YddW, UPF0748 family",,74271,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0105,A0A1C4U8K7,Phosphatidate phosphatase APP1,,40287,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0106,A0A1C4U8M6,4-amino-4-deoxy-L-arabinose transferase,,56662,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0107,A0A1C4U8F3,Peroxide stress protein YaaA,,29008,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0108,A0A1C4U8D2,Uncharacterized protein,,24067,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0109,A0A1C4U8G5,"TRAP transporter solute receptor, TAXI family",,33297,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0110,A0A1C4U8P7,histidine kinase (EC 2.7.13.3),2.7.13.3,52857,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0111,A0A1C4U8R1,Sensory transduction protein RegX3,,27656,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0112,A0A1C4U8Q5,Transferase hexapeptide (Six repeat-containing protein),,18785,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0113,A0A1C4U8T9,Nucleotide sugar dehydrogenase,,45330,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0114,A0A1C4U8U0,Glycosyltransferase involved in cell wall bisynthesis,,57765,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0115,A0A1C4U8P1,Glycosyltransferase involved in cell wall bisynthesis,,57741,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0116,A0A1C4U8P2,Dolichyl-phosphate-mannose-protein mannosyltransferase,,52194,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0117,A0A1C4U8T5,UDP-N-acetylglucosamine 2-epimerase (Non-hydrolysing),,38484,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0118,A0A1C4U8W6,Uncharacterized protein,,21524,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0119,A0A1C4U946,Glycosyltransferase involved in cell wall bisynthesis,,51520,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0120,A0A1C4U933,Uncharacterized protein,,20973,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0121,A0A1C4U912,Glycosyltransferase involved in cell wall bisynthesis,,40243,Micromonospora echinospora (Micromonospora purpurea)
